y,gamma_polar
0.6329311316648677,0.12108330664014122
0.6320211468612441,0.19044181445698063
0.6309998005803498,0.24861064504477773
0.6296486396862603,0.3022374651804677
0.628078246373707,0.35170521221866036
0.6265077131002135,0.39736056336160436
0.6248609989811743,0.44142713905261455
0.6229773235089673,0.4866508865570491
0.6209321557954042,0.5329462393724047
0.6188865562156363,0.5786774004869369
0.616643081561419,0.6258375845823912
0.6142031358699998,0.6745988459985384
0.6117631410641192,0.7235419517651903
0.6085002255447965,0.7744977461688751
0.6043926421188132,0.820927718233888
0.6002631478454131,0.8655985746621577
0.5961337869071788,0.9095829098302597
0.5920039688394544,0.9537723798581407
0.5878084565285181,0.9995753364727846
0.5821444606055439,1.0517776797279972
0.5750761372461745,1.09754161019717
0.5679436066642498,1.1423076761325852
0.5600194057299498,1.1887780581016485
0.5513676942993347,1.2300620865354552
0.5426697962284195,1.2699390011561664
0.5334660172628323,1.310303840610697
0.5238030740816617,1.3467223869366731
0.5141406353018128,1.3811722992044317
0.5044781965219639,1.4140442830595783
0.49481491610428996,1.4454136707324856
0.48524853035728815,1.4749168760245233
0.4761229546123722,1.5024731002378817
0.4673415246171047,1.5303902550048296
0.45856085945358416,1.5580893599053385
0.44978019429006366,1.5855574145970568
0.44099782076015764,1.6129391818340535
0.43203212374519795,1.6408193361522023
0.4224722521258191,1.6688419614303127
0.41249804072973306,1.6945549313968455
0.402353612618528,1.7206078375233491
0.39169550966108474,1.7470716474912868
0.380694040158735,1.7712678772658894
0.36962626311910135,1.7949009337927155
0.35836543936738907,1.8177818884279653
0.3469808557604989,1.838680614699433
0.3355972902826243,1.8583066537979787
0.32421372480474986,1.8767662195507142
0.3128268005955176,1.8939735680358747
0.30163860714107255,1.9092652071497933
0.2908332180440875,1.9238206143306442
0.280212580630557,1.938546780404653
0.2695950759214569,1.952996741256792
0.25897757121235687,1.9670978202092404
0.24835852155485133,1.980858360950697
0.2375575828731572,1.9945099777897648
0.2264588041610841,2.0072182472701905
0.21524013664764124,2.0190469820319903
0.20387367364049205,2.0312138689059247
0.19226675102574092,2.0424997527561617
0.18056722859469582,2.05264010175445
0.16886137223034295,2.062431787437208
0.15713730700088246,2.0711370242514833
0.14540519213919964,2.078741613422147
0.1336741745403263,2.0855297071430217
0.12194315694145294,2.0915690763973664
0.11020947050915526,2.096840974593894
0.09856212858103855,2.1010482357314455
0.08701419801396783,2.1051679578728217
0.07547947006341002,2.109000952076247
0.06394736569306059,2.1124362320446823
0.05241526132271116,2.115429461093013
0.040882938450643905,2.117945127121304
0.029266992424232714,2.1199356268988376
0.017562881903753488,2.1213714844209868
0.005854220020319604,2.1221862797956406
-0.005854220020319604,2.122186279795642
-0.017562881903753477,2.121371484420987
-0.029266992424232783,2.1199356268988363
-0.04088293845064405,2.117945127121306
-0.0524152613227113,2.115429461093012
-0.06394736569306073,2.1124362320446832
-0.07547947006341016,2.109000952076248
-0.08701419801396797,2.105167957872821
-0.09856212858103869,2.101048235731445
-0.1102094705091554,2.0968409745938947
-0.12194315694145308,2.091569076397368
-0.13367417454032643,2.0855297071430217
-0.1454051921391997,2.078741613422147
-0.15713730700088244,2.0711370242514837
-0.16886137223034295,2.062431787437208
-0.18056722859469582,2.05264010175445
-0.19226675102574092,2.0424997527561604
-0.20387367364049205,2.0312138689059247
-0.2152401366476412,2.019046982031991
-0.22645880416108416,2.007218247270191
-0.2375575828731574,1.9945099777897641
-0.24835852155485144,1.9808583609506962
-0.258977571212357,1.9670978202092386
-0.269595075921457,1.9529967412567912
-0.280212580630557,1.9385467804046523
-0.29083321804408757,1.9238206143306436
-0.30163860714107266,1.9092652071497915
-0.3128268005955176,1.8939735680358738
-0.32421372480474986,1.876766219550713
-0.3355972902826244,1.8583066537979773
-0.3469808557604989,1.8386806146994314
-0.35836543936738907,1.817781888427964
-0.36962626311910146,1.7949009337927142
-0.38069404015873504,1.7712678772658876
-0.3916955096610849,1.7470716474912844
-0.40235361261852803,1.720607837523347
-0.41249804072973306,1.6945549313968433
-0.4224722521258189,1.6688419614303105
-0.43203212374519795,1.6408193361521997
-0.44099782076015764,1.6129391818340524
-0.44978019429006366,1.5855574145970557
-0.45856085945358416,1.5580893599053376
-0.46734152461710476,1.530390255004829
-0.47612295461237236,1.5024731002378808
-0.48524853035728815,1.4749168760245228
-0.49481491610429,1.4454136707324847
-0.504478196521964,1.414044283059578
-0.5141406353018129,1.3811722992044313
-0.5238030740816617,1.3467223869366718
-0.5334660172628323,1.3103038406106948
-0.5426697962284195,1.2699390011561649
-0.5513676942993349,1.2300620865354543
-0.5600194057299499,1.1887780581016476
-0.5679436066642499,1.1423076761325837
-0.5750761372461746,1.0975416101971687
-0.582144460605544,1.0517776797279943
-0.5878084565285181,0.999575336472782
-0.5920039688394545,0.9537723798581367
-0.5961337869071788,0.9095829098302569
-0.6002631478454131,0.8655985746621554
-0.6043926421188132,0.8209277182338843
-0.6085002255447965,0.7744977461688741
-0.6117631410641192,0.7235419517651904
-0.6142031358699998,0.6745988459985399
-0.616643081561419,0.6258375845823939
-0.6188865562156363,0.5786774004869423
-0.6209321557954043,0.5329462393724099
-0.6229773235089673,0.48665088655705263
-0.6248609989811743,0.4414271390526186
-0.6265077131002135,0.3973605633616083
-0.628078246373707,0.35170521221866463
-0.6296486396862603,0.3022374651804727
-0.6309998005803498,0.24861064504478467
-0.6320211468612441,0.19044181445698796
-0.6329311316648677,0.12108330664014477
