parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
0.333,1.6268741862793739,32.21373129380282,0.5990258742323701,0.030252308334413797,0.17982000000000004,False,0.23666314738266106,0.1357793031213258,0.54,0.333,360,0.0,0,0,0,0,0,0,0,2.2191484144359968,0.7427854762904597
0.3478,1.5735435252903978,32.26375588446291,0.5999560994173998,0.02926060558719254,0.187812,False,0.23666314738266106,0.1357793031213258,0.54,0.3478,360,0.0,0,0,0,0,0,0,0,2.2190705648165316,0.7427594187423042
0.3626,1.5187186780293054,32.27731369637325,0.600208211787066,0.02824111791093723,0.195804,False,0.23666314738266106,0.1357793031213258,0.54,0.3626,360,0.0,0,0,0,0,0,0,0,2.2189108806273934,0.7427059698176115
0.37739999999999996,1.4704359622429484,32.24401700151632,0.599589047817397,0.027343283513224986,0.20379599999999998,False,0.23666314738266106,0.1357793031213258,0.54,0.37739999999999996,360,0.0,0,0,0,0,0,0,0,2.21886385686779,0.7426902301917953
0.3922,1.399104000801199,32.20515881090197,0.5988664658416689,0.0260168401349761,0.211788,False,0.23666314738266106,0.1357793031213258,0.54,0.3922,360,0.0,0,0,0,0,0,0,0,2.2193814061408097,0.7428634624464577
0.407,1.3587776822267155,32.20276543590995,0.5988219601762468,0.025266957793860893,0.21978,False,0.23666314738266106,0.1357793031213258,0.54,0.407,360,0.0,0,0,0,0,0,0,0,2.2204124411325044,0.7432085668173039
0.333,1.6459710070641071,32.5238777242578,0.604793158219093,0.03060742055849305,0.18781200000000003,False,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.333,360,0.0,0,0,0,0,0,0,0,2.2194366844893434,0.7428819650189659
0.3478,1.6007128451560417,32.584009814280506,0.6059113359758622,0.029765828823717994,0.1961592,False,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.3478,360,0.0,0,0,0,0,0,0,0,2.219315415975991,0.7428413744528444
0.3626,1.5698440791595598,32.608226900870655,0.6063616613769689,0.029191813061033765,0.2045064,False,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.3626,360,0.0,0,0,0,0,0,0,0,2.219150446589439,0.7427861564856431
0.37739999999999996,1.5164253942654808,32.589406413971396,0.6060116876804889,0.02819847347776186,0.2128536,False,0.23666314738266106,0.1357793031213258,0.5640000000000001,0.37739999999999996,360,0.0,0,0,0,0,0,0,0,2.2190798767573354,0.74276253560206
