alpha,y_num,data_type,shape,is_CFD,n_points,d_perc,iP,dLx_optimal,dLy_optimal,dLx_current,dLy_current,perc_interpolated_points,ref_chord,rho,U_inf,mu,is_with_smoothing,is_with_vort_correction,Fx_term_1,Fy_term_1,Cd_term_1,Cl_term_1,Fx_term_2,Fy_term_2,Cd_term_2,Cl_term_2,Fx_term_3,Fy_term_3,Cd_term_3,Cl_term_3,Fx_term_8,Fy_term_8,Cd_term_8,Cl_term_8,Fx_term_9,Fy_term_9,Cd_term_9,Cl_term_9,Fx_term_10,Fy_term_10,Cd_term_10,Cl_term_10,Fx_total_noca,Fy_total_noca,Cd_total_noca,Cl_total_noca,Fx_bernoulli_like_1_2,Fy_bernoulli_like_1_2,Cd_bernoulli_like_1_2,Cl_bernoulli_like_1_2,Fx_viscous_total_8_9_10,Fy_viscous_total_8_9_10,Cd_viscous_total_8_9_10,Cl_viscous_total_8_9_10,Fx_delta_noca_minus_bernoulli,Fy_delta_noca_minus_bernoulli,Cd_delta_noca_minus_bernoulli,Cl_delta_noca_minus_bernoulli,Fx_reduced_total_1_2_3_8_9_10,Fy_reduced_total_1_2_3_8_9_10,Cd_reduced_total_1_2_3_8_9_10,Cl_reduced_total_1_2_3_8_9_10,Fx_closure_residual_all_terms,Fy_closure_residual_all_terms,Fx_omitted_terms_4_5_6_7,Fy_omitted_terms_4_5_6_7,Cd_omitted_terms_4_5_6_7,Cl_omitted_terms_4_5_6_7,Fx_rotational_total_3_4,Fy_rotational_total_3_4,Cd_rotational_total_3_4,Cl_rotational_total_3_4,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points
6,1,CFD,ellipse,True,1,5.0,360,0.6,0.37,0.57,0.3515,0.0,0.39834712,1.2,15.0,7.17024816e-06,True,True,-1.1113669978590766,20.647513407340764,-0.0206662674812094,0.3839479089445399,-0.0278162752093106,13.223053265530766,-0.0005172536029178,0.2458874127359959,2.682395978857389,-1.4662031524300647,0.0498801142164353,-0.0272645728983168,-1.5639178025889824e-05,1.709757508656344e-05,-2.908161182506841e-07,3.179355340761956e-07,2.1025616884002555e-05,-1.7782920876835293e-05,3.90978878551628e-07,-3.306797845768524e-07,3.031709254392404e-05,1.4672332207960696e-05,5.63757197192536e-07,2.7283727388612813e-07,1.543248409320443,32.40437750742784,0.0286972570522662,0.6025710088752416,-1.139183273068387,33.87056667287153,-0.0211835210841272,0.629835321680536,3.5703531402036775e-05,1.398698641768884e-05,6.6391995749348e-07,2.6009302338547125e-07,2.6824316823887906,-1.466189165443647,0.0498807781363928,-0.0272643128052934,1.5432484093204035,32.40437750742789,0.0286972570522655,0.6025710088752426,3.952393967665557e-14,-4.973799150320701e-14,3.952393967665557e-14,-4.973799150320701e-14,7.349618180515075e-16,-9.248957710311105e-16,2.682395978857389,-1.4662031524300647,0.0498801142164353,-0.0272645728983168,,,,,,
6,1,CFD,rectangle,True,1,5.0,360,0.6,0.37,0.57,0.3515,0.0,0.39834712,1.2,15.0,7.17024816e-06,True,True,0.0702764338413031,18.61170926498324,0.0013068154643674,0.3460914015744608,-1.3496721956390596,13.816414582889507,-0.0250976380086508,0.2569211790086683,2.8954506463338183,0.2317504400765506,0.0538419420866798,0.0043094824596521,-1.7711616034374903e-05,-5.3072412897081085e-05,-3.293538454857775e-07,-9.86900531433045e-07,-1.5250248204541956e-06,7.495660524516997e-05,-2.835838288855348e-08,1.393844928330811e-06,1.5780341073237807e-05,1.5170571704706747e-05,2.934410956888984e-07,2.821022158263627e-07,1.6160514282363725,32.65991134271336,0.0300510552712654,0.6073227520893941,-1.2793957617977565,32.42812384787275,-0.0237908225442833,0.6030125805831291,-3.4562997815912936e-06,3.705476405279564e-05,-6.427113268543262e-08,6.89046612724129e-07,2.895447190034037,0.2317874948406034,0.0538418778155471,0.0043101715062649,1.61605142823628,32.65991134271336,0.0300510552712637,0.6073227520893941,9.2148511043888e-14,0.0,9.2148511043888e-14,0.0,1.7135345757942453e-15,0.0,2.8954506463338183,0.2317504400765506,0.0538419420866798,0.0043094824596521,,,,,,
6,1,PIV,ellipse,False,1,5.0,360,0.6,0.37,0.57,0.3515,0.3470624328884798,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-3.3943044648897707,18.09583020156117,-0.0631183075610551,0.3364984455723715,6.29146330414268,11.53251155225366,0.116992014107039,0.214451183927664,0.2135057862787841,2.13358598967224,0.0039702165859911,0.0396747958520167,0.0001483453779787,-0.0002228721758039,2.7585354494201462e-06,-4.1443879547945125e-06,0.0001234612586531,0.0001229468471713,2.295806335627932e-06,2.286240669832891e-06,4.939377171388039e-05,-5.238619170985919e-05,9.18494880729119e-07,-9.74140002612484e-07,3.110985825940033,31.76177543196664,0.0578498959686407,0.5906215930647629,2.897158839252909,29.62834175381484,0.0538737065459839,0.5509496295000356,0.0003212004083457,-0.0001523115203423,5.972836665777198e-06,-2.832287287574105e-06,0.2138269866871299,2.133433678151897,0.0039761894226569,0.0396719635647291,3.11098582594004,31.761775431966736,0.0578498959686408,0.5906215930647648,-6.661338147750939e-15,-9.947598300641405e-14,-6.661338147750939e-15,-9.947598300641405e-14,-1.238699693345237e-16,-1.849791542062221e-15,0.2135057862787841,2.13358598967224,0.0039702165859911,0.0396747958520167,,,,,,
6,1,PIV,rectangle,False,1,5.0,360,0.6,0.37,0.57,0.3515,0.3470624328884798,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-2.443053060142492,16.399522071410484,-0.0454294468964375,0.3049549881764108,5.381929020201048,11.90196774000972,0.100078898249291,0.2213213540995903,1.324835550145944,-1.0884212278436685,0.0246357916877815,-0.0202395826672693,-0.000261561274152,0.0001810248313915,-4.863825599252819e-06,3.366221593304489e-06,0.0001028132568884,-0.0003258117711933,1.911849345502625e-06,-6.058586609985557e-06,6.166979280433593e-05,-3.930252840207717e-05,1.1467718908878217e-06,-7.308445960783812e-07,4.2636144319801215,27.212884494108337,0.0792834378362737,0.5060333363991192,2.938875960058556,28.301489811420204,0.0546494513528535,0.5262763422760012,-9.707822445928424e-05,-0.0001840894682038,-1.8052043628623723e-06,-3.423209612759449e-06,1.3247384719214843,-1.0886053173118722,0.0246339864834187,-0.020243005876882,4.263614431980041,27.21288449410833,0.0792834378362722,0.506033336399119,8.082423619271142e-14,7.105427357601002e-15,8.082423619271142e-14,7.105427357601002e-15,1.5029556279255546e-15,1.3212796729015862e-16,1.324835550145944,-1.0884212278436685,0.0246357916877815,-0.0202395826672693,,,,,,
6,2,CFD,ellipse,True,1,5.0,360,0.67,0.39,0.6365,0.3705,0.0,0.39834712,1.2,15.0,7.17024816e-06,True,True,0.1231872570302962,19.05888503950175,0.0022907111772878,0.3544067953058917,-3.3089110054620594,12.51502691008965,-0.0615303855901143,0.2327214090005247,1.2096015109564904,-0.908691349621216,0.0224929734455474,-0.0168974411920719,-8.174684369898643e-05,-8.448898347166134e-06,-1.5201118450361776e-06,-1.5711029165023366e-07,8.923208041026031e-05,-2.88596663813752e-06,1.6593025033275894e-06,-5.366558355654866e-08,2.465681803191348e-05,1.2062940989951856e-05,4.585023648035724e-07,2.243147093522048e-07,-1.976090095420561,30.6652213280462,-0.0367461032742565,0.5702307766531788,-3.185723748431763,31.5739119495914,-0.0592396744128265,0.5871282043064164,3.214205474318735e-05,7.280760046482001e-07,5.976930230949841e-07,1.3538834145422385e-08,1.2096336530112335,-0.9086906215452112,0.0224935711385705,-0.0168974276532378,-1.9760900954205287,30.66522132804619,-0.0367461032742559,0.5702307766531787,-3.1974423109204515e-14,7.105427357601002e-15,-3.1974423109204515e-14,7.105427357601002e-15,-5.945758528057139e-16,1.3212796729015862e-16,1.2096015109564904,-0.908691349621216,0.0224929734455474,-0.0168974411920719,,,,,,
6,2,CFD,rectangle,True,1,5.0,360,0.67,0.39,0.6365,0.3705,0.0,0.39834712,1.2,15.0,7.17024816e-06,True,True,0.9759012243225512,18.067522581153543,0.0181472328906126,0.3359720552294626,-4.513401476860929,12.80991333356461,-0.0839283174240174,0.2382049276904359,1.3129754642768738,-0.1722470719147417,0.0244152491420766,-0.0032029960111309,-0.0001392233794223,-0.0001138887418556,-2.5889086182359703e-06,-2.117801956348148e-06,8.472979943819069e-05,-1.0591036553673671e-05,1.575580975674175e-06,-1.969441190382021e-07,1.6573454996873046e-05,1.4233771170013756e-05,3.081893332382338e-07,2.646820742675431e-07,-2.224562708386542,30.705078596796184,-0.0413665405296384,0.5709719368447667,-3.5375002525383783,30.87743591471816,-0.0657810845334048,0.5741769829198986,-3.792012498729583e-05,-0.0001102460072392,-7.051383093235614e-07,-2.050064001118807e-06,1.3129375441518865,-0.172357317921981,0.0244145440037673,-0.003205046075132,-2.224562708386492,30.705078596796177,-0.0413665405296375,0.5709719368447665,-5.018208071305708e-14,7.105427357601002e-15,-5.018208071305708e-14,7.105427357601002e-15,-9.331537689867455e-16,1.3212796729015862e-16,1.3129754642768738,-0.1722470719147417,0.0244152491420766,-0.0032029960111309,,,,,,
6,2,PIV,ellipse,False,1,5.0,360,0.67,0.39,0.6365,0.3705,0.1831185764687835,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-1.6578032897643595,16.450414310812256,-0.0308274460943131,0.3059013476006341,1.15494771862188,12.502104242888748,0.0214766665969318,0.2324811073742762,2.719394246592239,-1.4192822732885817,0.050568110259887,-0.0263920623409047,0.0001534517764949,-0.0002788556037066,2.8534907592360426e-06,-5.185419853152269e-06,0.0002354063936811,7.473051278399316e-05,4.377466226703243e-06,1.3896406580158153e-06,6.581016676942983e-05,3.7071330402748975e-05,1.2237636280904735e-06,6.893546699365372e-07,2.2169933437867084,27.53306922665195,0.0412257854831198,0.5119872862094813,-0.5028555711424796,28.952518553701005,-0.0093507794973812,0.5383824549749103,0.0004546683369454,-0.0001670537605199,8.454720614029759e-06,-3.106424525199916e-06,2.719848914929184,-1.4194493270491018,0.050576564980501,-0.0263951687654299,2.2169933437867044,27.533069226651904,0.0412257854831197,0.5119872862094804,3.996802888650564e-15,4.618527782440651e-14,3.996802888650564e-15,4.618527782440651e-14,7.432198160071424e-17,8.58831787386032e-16,2.719394246592239,-1.4192822732885817,0.050568110259887,-0.0263920623409047,,,,,,
6,2,PIV,rectangle,False,1,5.0,360,0.67,0.39,0.6365,0.3705,0.1831185764687835,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-1.3517736993010865,15.43912282154968,-0.0251367162221265,0.2870960200546193,1.2884957932779844,12.27386549803792,0.0239600408898164,0.2282369261454389,0.7002940373375233,-0.0435987292362721,0.0130222185101707,-0.0008107339897381,0.0001701241959884,5.111209803855387e-05,3.1635203727452866e-06,9.504477743404234e-07,-1.1641425445584086e-05,-0.0003419137949935,-2.164764767934073e-07,-6.358009511226494e-06,4.029167247492504e-05,7.489055336753032e-05,7.492380844816773e-07,1.3926166700024938e-06,0.6372149057574736,27.66917367920772,0.0118492394598417,0.5145181972652527,-0.0632779060231019,27.7129883195876,-0.00117667533231,0.5153329462000582,0.0001987744430178,-0.0002159111435874,3.696281980433556e-06,-4.014945066883577e-06,0.700492811780541,-0.0438146403798595,0.0130259147921511,-0.000814748934805,0.6372149057574391,27.66917367920773,0.0118492394598411,0.5145181972652532,3.4527936065842375e-14,-2.4868995751603507e-14,3.4527936065842375e-14,-2.4868995751603507e-14,6.42059341050615e-16,-4.624478855155552e-16,0.7002940373375233,-0.0435987292362721,0.0130222185101707,-0.0008107339897381,,,,,,
6,3,CFD,ellipse,True,1,5.0,360,0.67,0.43,0.6365,0.4085,0.0,0.39834712,1.2,15.0,7.17024816e-06,True,True,-1.726102065471757,18.020642882729927,-0.0320974862971689,0.3351003104422526,-0.298249570776511,11.898558733791448,-0.0055460576188576,0.2212579624076581,2.9646931509389627,-1.2882070544479385,0.0551295312664875,-0.0239546716878287,7.535958717974819e-06,-1.5959622517408455e-05,1.4013385217757598e-07,-2.967748983722475e-07,-1.4445147644111936e-05,-3.4600846484982864e-05,-2.68612695530693e-07,-6.434151364152667e-07,3.548924746512261e-05,6.62028086548969e-06,6.599352709176454e-07,1.231064944617796e-07,0.9403700947492538,28.63095062188517,0.0174865188068889,0.5324027840785391,-2.024351636248268,29.919201616521377,-0.0376435439160266,0.5563582728499107,2.858005853898549e-05,-4.394018813690162e-05,5.314564275645283e-07,-8.170835403257344e-07,2.9647217309975016,-1.2882509946360752,0.0551300627229151,-0.0239554887713691,0.9403700947492336,28.6309506218853,0.0174865188068885,0.5324027840785416,2.0317081350640365e-14,-1.3500311979441906e-13,2.0317081350640365e-14,-1.3500311979441906e-13,3.778034064702974e-16,-2.5104313785130144e-15,2.9646931509389627,-1.2882070544479385,0.0551295312664875,-0.0239546716878287,,,,,,
6,3,CFD,rectangle,True,1,5.0,360,0.67,0.43,0.6365,0.4085,0.0,0.39834712,1.2,15.0,7.17024816e-06,True,True,-0.9052735832916808,16.515020865828305,-0.0168338866027324,0.3071027296369671,-1.3291769631851027,12.183582506353911,-0.0247165218185903,0.2265580815704787,3.201361546260509,0.3361432815229819,0.0595304648658168,0.0062507047459099,-7.81727742154079e-05,-1.810150014021612e-05,-1.4536507425503647e-06,-3.366038801129605e-07,5.0020770625171646e-05,-1.0218331179019609e-05,9.301541501119008e-07,-1.900135290718605e-07,3.187125612894518e-05,1.081162681545048e-05,5.926574258474048e-07,2.010460739841484e-07,0.9669147190362496,29.03472914550071,0.0179801256053272,0.5399111903820208,-2.234450546476784,28.69860337218222,-0.0415504084213227,0.5336608112074459,3.719252538708928e-06,-1.7508204503785246e-05,6.916083340894074e-08,-3.255713352006727e-07,3.201365265513048,0.3361257733184781,0.0595305340266502,0.0062503791745747,0.9669147190362642,29.03472914550069,0.0179801256053275,0.5399111903820206,-1.4654943925052066e-14,1.0658141036401504e-14,-1.4654943925052066e-14,1.0658141036401504e-14,-2.7251393253595223e-16,1.9819195093523798e-16,3.201361546260509,0.3361432815229819,0.0595304648658168,0.0062507047459099,,,,,,
