alpha,y_num,data_type,shape,is_CFD,n_points,d_perc,iP,dLx_optimal,dLy_optimal,ref_chord,rho,U_inf,mu,is_with_smoothing,is_with_vort_correction,Fx_term_1_mean,Fx_term_1_std,Fy_term_1_mean,Fy_term_1_std,Cd_term_1_mean,Cd_term_1_std,Cl_term_1_mean,Cl_term_1_std,Fx_term_2_mean,Fx_term_2_std,Fy_term_2_mean,Fy_term_2_std,Cd_term_2_mean,Cd_term_2_std,Cl_term_2_mean,Cl_term_2_std,Fx_term_3_mean,Fx_term_3_std,Fy_term_3_mean,Fy_term_3_std,Cd_term_3_mean,Cd_term_3_std,Cl_term_3_mean,Cl_term_3_std,Fx_term_8_mean,Fx_term_8_std,Fy_term_8_mean,Fy_term_8_std,Cd_term_8_mean,Cd_term_8_std,Cl_term_8_mean,Cl_term_8_std,Fx_term_9_mean,Fx_term_9_std,Fy_term_9_mean,Fy_term_9_std,Cd_term_9_mean,Cd_term_9_std,Cl_term_9_mean,Cl_term_9_std,Fx_term_10_mean,Fx_term_10_std,Fy_term_10_mean,Fy_term_10_std,Cd_term_10_mean,Cd_term_10_std,Cl_term_10_mean,Cl_term_10_std,Fx_total_noca_mean,Fx_total_noca_std,Fy_total_noca_mean,Fy_total_noca_std,Cd_total_noca_mean,Cd_total_noca_std,Cl_total_noca_mean,Cl_total_noca_std,Fx_bernoulli_like_1_2_mean,Fx_bernoulli_like_1_2_std,Fy_bernoulli_like_1_2_mean,Fy_bernoulli_like_1_2_std,Cd_bernoulli_like_1_2_mean,Cd_bernoulli_like_1_2_std,Cl_bernoulli_like_1_2_mean,Cl_bernoulli_like_1_2_std,Fx_viscous_total_8_9_10_mean,Fx_viscous_total_8_9_10_std,Fy_viscous_total_8_9_10_mean,Fy_viscous_total_8_9_10_std,Cd_viscous_total_8_9_10_mean,Cd_viscous_total_8_9_10_std,Cl_viscous_total_8_9_10_mean,Cl_viscous_total_8_9_10_std,Fx_delta_noca_minus_bernoulli_mean,Fx_delta_noca_minus_bernoulli_std,Fy_delta_noca_minus_bernoulli_mean,Fy_delta_noca_minus_bernoulli_std,Cd_delta_noca_minus_bernoulli_mean,Cd_delta_noca_minus_bernoulli_std,Cl_delta_noca_minus_bernoulli_mean,Cl_delta_noca_minus_bernoulli_std,Fx_reduced_total_1_2_3_8_9_10_mean,Fx_reduced_total_1_2_3_8_9_10_std,Fy_reduced_total_1_2_3_8_9_10_mean,Fy_reduced_total_1_2_3_8_9_10_std,Cd_reduced_total_1_2_3_8_9_10_mean,Cd_reduced_total_1_2_3_8_9_10_std,Cl_reduced_total_1_2_3_8_9_10_mean,Cl_reduced_total_1_2_3_8_9_10_std,Fx_closure_residual_all_terms_mean,Fx_closure_residual_all_terms_std,Fy_closure_residual_all_terms_mean,Fy_closure_residual_all_terms_std,Fx_omitted_terms_4_5_6_7_mean,Fx_omitted_terms_4_5_6_7_std,Fy_omitted_terms_4_5_6_7_mean,Fy_omitted_terms_4_5_6_7_std,Cd_omitted_terms_4_5_6_7_mean,Cd_omitted_terms_4_5_6_7_std,Cl_omitted_terms_4_5_6_7_mean,Cl_omitted_terms_4_5_6_7_std,n_samples,Fx_rotational_total_3_4_mean,Fx_rotational_total_3_4_std,Fy_rotational_total_3_4_mean,Fy_rotational_total_3_4_std,Cd_rotational_total_3_4_mean,Cd_rotational_total_3_4_std,Cl_rotational_total_3_4_mean,Cl_rotational_total_3_4_std
6,6,PIV,ellipse,False,6,5.0,360,0.6,0.4,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-1.080886753444677,0.1276152441768169,11.040354170247872,0.2565744416960713,-0.020099476416535,0.0023730511846388,0.2052993410899904,0.0047710936631621,-6.6330235207153,0.3235248689493121,5.720859716106511,0.2115285630855454,-0.1233434487008568,0.0060160608434564,0.1063814359642565,0.003933449412357,8.303148706381256,2.281110081040808,20.1902597471175,5.874572763885872,0.1544000248638768,0.0424180591826881,0.3754451133179469,0.1092397851566292,-0.0005555815752576,0.0005303431764185,0.0001120766068516,0.0012992091277335,-1.0331238433410624e-05,9.861921365141116e-06,2.084104656736705e-06,2.4159259182155373e-05,0.0024303394566633,0.0016705535593314,-0.0018223775083233,0.0008023853140202,4.519303288499371e-05,3.106454192479877e-05,-3.3887762648432595e-05,1.4920642375094255e-05,0.0001378855278042,2.814467793295008e-05,-9.766961141187348e-05,2.7614400277823027e-05,2.564030788100689e-06,5.23360369216753e-07,-1.816201415114824e-06,5.134996662435e-07,0.5912510756304865,2.2158747059400365,36.949665662958985,5.927815714054511,0.0109945255717246,0.0412049840116,0.6870922705127867,0.1102298568897232,-7.713910274159978,0.2321863655808559,16.761213886354383,0.1038047066481906,-0.1434429251173918,0.0043175886505785,0.3116807770542469,0.0019302857089805,0.0020126434092099,0.0014041464979136,-0.0018079705128835,0.0011951833026677,3.742582523968378e-05,2.61106071752969e-05,-3.3619859406810715e-05,2.222486169698165e-05,8.305161349790465,2.28137922236825,20.18845177660462,5.875439656330025,0.1544374506891165,0.0424230639620939,0.3754114934585401,0.1092559053321993,0.5912510756304886,2.2158747059400405,36.949665662959006,5.927815714054527,0.0109945255717246,0.0412049840116001,0.6870922705127871,0.1102298568897235,-2.064706430518173e-15,4.1600746159830886e-14,-1.8553060322624842e-14,8.204841886909351e-14,-2.064706430518173e-15,4.1600746159830886e-14,-1.8553060322624842e-14,8.204841886909351e-14,-3.8393955772899836e-17,7.735807786385063e-16,-3.450008034798586e-16,1.525719743366009e-15,18,8.303148706381256,2.281110081040808,20.1902597471175,5.874572763885872,0.1544000248638768,0.0424180591826881,0.3754451133179469,0.1092397851566292
6,6,PIV,rectangle,False,6,5.0,360,0.6,0.4,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-0.9660535100410068,0.0906013037257646,10.490983937332013,0.1583110216554457,-0.0179641111155257,0.0016847637014144,0.1950836047926875,0.002943850163859,-7.096688855707508,0.4303324664906458,5.872492809278524,0.3343972723099226,-0.1319654717168116,0.0080021863844044,0.1092011076555454,0.0062182370790715,1.5252459839034556,2.179592959721641,-1.474684659050496,5.527262409070401,0.028362495502126,0.0405303119424463,-0.0274222895524905,0.1027814246821531,0.0002845687050299,0.0005793703609925,0.0010197792884482,0.0018377059735026,5.291657019022117e-06,1.077359942667307e-05,1.896316121269288e-05,3.4172800949986135e-05,0.0011861559855751,0.0013729096580492,-0.0025212976951515,0.0009392949392957,2.205699550153712e-05,2.5529746947172164e-05,-4.688443391619111e-05,1.7466525906048644e-05,9.887831691134151e-05,2.7838020192928435e-05,-1.5432913131972434e-05,1.2458946358127164e-05,1.8386777269057403e-06,5.176579586784891e-07,-2.8698054865226e-07,2.316785710454809e-07,-6.535926778837557,2.321819981112544,14.887275136240213,5.363037953690908,-0.1215378999999642,0.0431750743591659,0.2768342146424903,0.0997276120996609,-8.062742365748514,0.3679953072256064,16.363476746610537,0.2130776534217396,-0.1499295828323374,0.0068430045750904,0.3042847124482329,0.0039622553021324,0.0015696030075164,0.0013188416444414,-0.0015169513198353,0.0017644987063327,2.9187330247464975e-05,2.4524332863843257e-05,-2.820825325215049e-05,3.28114855898797e-05,1.526815586910972,2.179487650272399,-1.4762016103703313,5.527218513063758,0.0283916828323734,0.0405283536755097,-0.0274504978057427,0.1027806084201834,-6.535926778837542,2.321819981112556,14.887275136240204,5.363037953690901,-0.1215378999999639,0.0431750743591661,0.2768342146424902,0.0997276120996608,-1.4371220263203417e-14,7.499841825459788e-14,7.056084112062106e-15,3.216321641664422e-14,-1.4371220263203417e-14,7.499841825459788e-14,7.056084112062106e-15,3.216321641664422e-14,-2.672379893976299e-16,1.3946224562209641e-15,1.3121041196175475e-16,5.980865319942516e-16,18,1.5252459839034556,2.179592959721641,-1.474684659050496,5.527262409070401,0.028362495502126,0.0405303119424463,-0.0274222895524905,0.1027814246821531
6,7,CFD,ellipse,True,6,5.0,360,0.6,0.4,0.39834712,1.2,15.0,7.17024816e-06,True,True,-1.4902943761276717,0.123730678521382,26.449695212744636,3.2830129340143634,-0.0277125578338453,0.0023008162945996,0.4918415582935627,0.0610488016733554,-4.105260362944659,0.5522946703914258,-1.224437666129773,0.0325408011098196,-0.0763387871909612,0.0102701172598639,-0.0227688570661645,0.0006051078546365,2.0139613587720517,0.1133948477270184,-0.1496611012810874,0.1432769411684401,0.0374503329839572,0.0021086178180852,-0.0027830017955954,0.0026642860511249,-0.0012473689802602,0.0001584191097121,-0.0083417466144145,0.0018849124577414,-2.3195273067746435e-05,2.945860099997781e-06,-0.0001551177667917,3.505062243650388e-05,0.0058494903757957,0.0013840805131737,-1.331675281027948e-05,4.595047391381913e-05,0.0001087733691641,2.573747300025988e-05,-2.476297893392015e-07,8.544655245483002e-07,-0.0013079364365869,0.0001781554281708,3.484982152578075e-06,2.2527713335990864e-06,-2.432154661691031e-05,3.312864012429144e-06,6.480449164961819e-08,4.189109002142889e-08,-3.5782991953413403,0.5589950097796911,25.067244866948688,3.4525358482396284,-0.0665397554913699,0.0103947124712383,0.466134398839713,0.0642011409962995,-5.59555473907233,0.4545827724739295,25.22525754661486,3.313528075663128,-0.1040513450248065,0.0084531295120275,0.4690727012273982,0.0616162416646051,0.0032941849589485,0.001535568666795,-0.0083515783850722,0.0019204936798257,6.125654947947266e-05,2.8554449488678013e-05,-0.0001553005920894,3.5712268008415265e-05,2.017255543731,0.1122227902130382,-0.1580126796661597,0.1445850822352527,0.0375115895334367,0.0020868229887139,-0.0029383023876849,0.0026886114029141,-3.578299195341331,0.5589950097796947,25.067244866948705,3.4525358482396333,-0.0665397554913697,0.0103947124712383,0.4661343988397133,0.0642011409962996,-9.510910577622176e-15,3.3910071649241964e-14,-1.2434497875801752e-14,6.134992380590616e-14,-9.510910577622176e-15,3.3910071649241964e-14,-1.2434497875801752e-14,6.134992380590616e-14,-1.7685878954984774e-16,6.305699308691144e-16,-2.312239427577776e-16,1.1408238122664208e-15,36,2.0139613587720517,0.1133948477270184,-0.1496611012810874,0.1432769411684401,0.0374503329839572,0.0021086178180852,-0.0027830017955954,0.0026642860511249
6,7,CFD,rectangle,True,6,5.0,360,0.6,0.4,0.39834712,1.2,15.0,7.17024816e-06,True,True,-0.5882379829204069,0.048245169413092,53.44880661900825,1.5937536082873704,-0.0109384960333164,0.00089713620945,0.9938997075383094,0.0296364193209433,-4.339495309012479,0.4082910786196068,-1.7840501044632648,0.0559912148840845,-0.0806944699296149,0.0075923188804408,-0.0331750508425594,0.0010411767000652,1.659568627695328,0.1543657644089359,-0.0269234389434826,0.0387604733198528,0.0308602731855857,0.0028704866919405,-0.000500650992689,0.0007207648876288,-0.0029438150601393,0.0001083485876504,-6.463874383648795e-08,5.372179166471268e-05,-5.47412956883272e-05,2.014780804098637e-06,-1.201980598980892e-09,9.989759622622356e-07,0.0028980448609796,0.0001115116762839,-5.9708443802809706e-05,1.196037772903694e-05,5.389018243741697e-05,2.0735995704402465e-06,-1.1102999035356437e-06,2.2240750877139225e-07,-0.0028337689501243,9.980535617413044e-05,1.8658397604475449e-07,1.4843361459224306e-06,-5.269494884770984e-05,1.8559163541164595e-06,3.469595879737854e-09,2.7601762408595732e-08,-3.271044203386829,0.5098885947983586,51.63777348910294,1.6496482449014211,-0.060826238839444,0.0094815610918987,0.9602228976707726,0.0306758001134774,-4.927733291932886,0.396687883840383,51.66475651454499,1.6477518894631782,-0.0916329659629314,0.0073765533165848,0.9607246566957498,0.0306405367047192,-0.002879539149284,9.860897013223388e-05,-5.958649857060143e-05,5.706519492230445e-05,-5.354606209862007e-05,1.833669127052612e-06,-1.1080322882548869e-06,1.0611477436378242e-06,1.6566890885460437,0.1544584246541563,-0.0269830254420532,0.0387856298365075,0.0308067271234871,0.0028722097423967,-0.0005017590249773,0.0007212326820686,-3.2710442033868423,0.5098885947983638,51.63777348910294,1.6496482449014152,-0.0608262388394442,0.0094815610918988,0.9602228976707726,0.0306758001134774,1.3236325615808811e-14,5.0771078361828336e-14,2.763221750178168e-15,3.114728981536709e-14,1.3236325615808811e-14,5.0771078361828336e-14,2.763221750178168e-15,3.114728981536709e-14,2.461342168443407e-16,9.441063912787149e-16,5.138309839061725e-17,5.791950128797604e-16,36,1.659568627695328,0.1543657644089359,-0.0269234389434826,0.0387604733198528,0.0308602731855857,0.0028704866919405,-0.000500650992689,0.0007207648876288
16,1,CFD,ellipse,True,6,5.0,360,0.6,0.44,0.39834712,1.2,15.0,7.17024816e-06,True,True,-9.826620443861259,0.5513506218440744,16.57495371382598,0.36707819754912685,-0.182729527618121,0.010252562338913059,0.3082172024169008,0.006825950592094601,-5.4036104489359325,0.6588230020357405,12.768392617438435,0.37848835083836346,-0.10048207218415962,0.012251049751407594,0.23743283509894464,0.007038126480285618,29.435488521630102,0.46009571036023955,1.4643692602667209,0.2665500966607137,0.5473634545563643,0.008555644567077083,0.027230471016533052,0.0049565945410870085,0.00013635293203210214,3.5255526715025674e-05,4.87423020311367e-05,5.217444111211165e-05,2.535531620653645e-06,6.555891498372852e-07,9.063805685843321e-07,9.702024243860416e-07,0.000303575706584717,7.60881564043393e-05,-8.081300348829016e-05,5.76408542142054e-05,5.645099022341545e-06,1.4148865275227207e-06,-1.5027467517626366e-06,1.0718523344052184e-06,0.00018478307894351557,1.6131507220312916e-05,-3.001164866055006e-05,3.651895913901115e-06,3.436107552954682e-06,2.999711560018107e-07,-5.58077358753509e-07,6.790831283959573e-08,14.205882340550472,0.7579005648645358,30.807653509181023,0.1177277212409935,0.26416347149227953,0.014093432527529795,0.5728793540888367,0.002189189153363727,-15.23023089279719,0.32330564970932457,29.343346331264417,0.21332183616151437,-0.2832115998022806,0.00601198438315186,0.5456500375158455,0.003966795967658896,0.0006247117175603346,7.91821919700503e-05,-6.208235011770353e-05,3.2314957542347316e-05,1.1616738195949872e-05,1.4724212273298377e-06,-1.1544435419318135e-06,6.009082125891598e-07,29.436113233347662,0.4600819966901214,1.464307177916603,0.26653456500326433,0.5473750712945602,0.00855538955646826,0.02722931657299112,0.004956305724352398,14.205882340550474,0.7579005648645315,30.807653509181016,0.11772772124098407,0.2641634714922796,0.014093432527529742,0.5728793540888366,0.0021891891533636246,-2.0230730670947296e-15,3.572995775258256e-14,5.329070518200751e-15,6.908047930610342e-14,-2.0230730670947296e-15,3.572995775258256e-14,5.329070518200751e-15,6.908047930610342e-14,-3.761976846455906e-17,6.644113649493281e-16,9.909597546761897e-17,1.2845762613252598e-15,36,29.435488521630102,0.46009571036023955,1.4643692602667209,0.2665500966607137,0.5473634545563643,0.008555644567077083,0.027230471016533052,0.0049565945410870085
16,1,CFD,rectangle,True,6,5.0,360,0.6,0.44,0.39834712,1.2,15.0,7.17024816e-06,True,True,-10.515759920167365,0.956497728345766,18.693374957282614,0.5237718707923129,-0.19554432306970282,0.017786417931468394,0.34761000438014805,0.009739725582799745,-2.0873114274757607,1.335463066802159,12.169234319863786,0.5253802614731529,-0.03881430378974518,0.02483341416739583,0.22629127190234355,0.009769634183728705,36.606801984557215,0.5098001712328614,0.2482482582490616,0.1060414099030051,0.6807165975792802,0.009479916824019977,0.004616265299043924,0.001971878007320462,-2.9760992188751494e-05,4.9726065476898044e-05,-4.891214273045694e-05,1.1506557091253158e-05,-5.534163118607505e-07,9.246740022993019e-07,-9.095388172349661e-07,2.1396855142696876e-07,2.081608019841458e-05,4.625634419753543e-05,3.0661237928116665e-05,5.56616219830102e-05,3.8708246881494416e-07,8.601532920544542e-07,5.701567039044047e-07,1.0350478019905372e-06,-5.900556832901064e-06,1.0945400946342826e-05,-1.1373659090424245e-05,1.5684217072429913e-06,-1.0972296822896506e-07,2.0353365187373233e-07,-2.1149726548979483e-07,2.9165363545669183e-08,24.003715791445263,0.9986568497028023,31.110827910831567,0.0690048948460971,0.446357694663021,0.01857038189694128,0.5785169907021567,0.0012831707412126632,-12.603071347643127,0.5139940343382313,30.8626092771464,0.041246824468496666,-0.234358626859448,0.009557903210948855,0.5739012762824917,0.0007669994779928463,-1.484546882323798e-05,2.4750089388252095e-05,-2.9624563892764513e-05,5.042336221373831e-05,-2.760568112747715e-07,4.602367790898902e-07,-5.508793788203562e-07,9.376404849329198e-07,36.60678713908838,0.5098159836297336,0.24821863368516883,0.10604831510477326,0.680716321522469,0.009480210861204498,0.004615714419665104,0.001972006412021185,24.00371579144526,0.9986568497028196,31.110827910831567,0.06900489484609973,0.446357694663021,0.018570381896941598,0.5785169907021567,0.0012831707412127588,3.552713678800501e-15,5.522809031171135e-14,-5.625129991434126e-15,3.752518160785518e-14,3.552713678800501e-15,5.522809031171135e-14,-5.625129991434126e-15,3.752518160785518e-14,6.606398364507934e-17,1.0269861252465838e-15,-1.0460130743804226e-16,6.977941956912721e-16,36,36.606801984557215,0.5098001712328614,0.2482482582490616,0.1060414099030051,0.6807165975792802,0.009479916824019977,0.004616265299043924,0.001971878007320462
16,1,PIV,ellipse,False,6,5.0,360,0.6,0.44,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-4.945795719295067,1.0485169417018152,14.87326423842648,0.4277447977402417,-0.09196884327073868,0.019497548170435343,0.276573676978129,0.007954067756937857,-7.65997849060393,2.324437091883257,14.657866542538171,0.6085695342510181,-0.14244004428067902,0.043223740471547964,0.2725682796551572,0.011316568514248254,20.5996820381692,11.612346695627275,-9.139208951818588,4.427882889964152,0.38305846749882827,0.21593574702026816,-0.16994686465298178,0.08233806866296153,-0.0005281103401035437,0.0006130634634487376,-0.0003353569229381713,0.00026638074308412785,-9.820400973933072e-06,1.140013473766553e-05,-6.2360821263062355e-06,4.9534453506581355e-06,0.0015226141990645596,0.0003559440038395864,-0.00044177551467086153,0.0003065496406248275,2.8313556520189014e-05,6.618906271152663e-06,-8.214973964878068e-06,5.7004003912527994e-06,0.00019947299711019881,6.057902986652802e-05,-0.00018552933895487166,3.6356210942860654e-05,3.709271844043565e-06,1.1264887632848306e-06,-3.4499845252194015e-06,6.760567673827098e-07,7.995101805126278,12.498704705145036,20.39095916736951,4.7567664269776895,0.14867178237480094,0.2324178917520206,0.3791771909396882,0.08845377585885744,-12.605774209898996,1.392670062641717,29.531130780964652,0.5955830418270903,-0.23440888755141767,0.025897198749891246,0.5491419566332862,0.011075080035111585,0.0011939768560712148,0.0005168537251002913,-0.0009626617765639045,0.00021558458123145451,2.2202427390299507e-05,9.611080185176206e-06,-1.7901040616403707e-05,4.008872522880797e-06,20.600876015025268,11.612129508382688,-9.14017161359515,4.427847365184044,0.38308066992621853,0.215931708345646,-0.1699647656935982,0.08233740806694838,7.995101805126272,12.498704705145038,20.390959167369502,4.756766426977689,0.14867178237480083,0.2324178917520206,0.379177190939688,0.08845377585885741,4.7862948172728974e-15,3.252810854399782e-14,1.2039751911490586e-14,6.059599444589882e-14,4.7862948172728974e-15,3.252810854399782e-14,1.2039751911490586e-14,6.059599444589882e-14,8.900286685517631e-17,6.048718318278832e-16,2.238835001305466e-16,1.1268042257159259e-15,36,20.5996820381692,11.612346695627275,-9.139208951818588,4.427882889964152,0.38305846749882827,0.21593574702026816,-0.16994686465298178,0.08233806866296153
16,1,PIV,rectangle,False,6,5.0,360,0.6,0.44,0.39834712,1.2,15.0,1.7072019428571428e-05,True,True,-4.100340261349562,1.6559086848394895,19.483957694403912,0.5311175943766363,-0.07624729613913507,0.030792215236977987,0.3623111736094391,0.009876321944513874,-6.5345897504673625,3.3105288591504847,16.06301689044338,0.7137366054612014,-0.12151303747841949,0.06156047015905951,0.29869755378068397,0.013272187880336897,6.634881294528741,10.456063199103514,-2.133588083208952,0.8530769769941313,0.12337799467047998,0.19443424115469782,-0.039674834782081926,0.015863272008782313,-0.0009711966329625693,0.0006146879209072565,9.325798964865689e-06,0.0002786487474240784,-1.805974932881671e-05,1.143034210608143e-05,1.7341657279294116e-07,5.181573286469133e-06,0.00046090881259177794,0.00025708001585276883,0.0001587158199202531,0.0004452352501570195,8.57076449437287e-06,4.780494995731898e-06,2.9513775326153305e-06,8.279308985720786e-06,-9.742651684071297e-05,6.332311763968637e-05,-0.00011349910875185516,1.6154725271131006e-05,-1.811680984473541e-06,1.1775160585178662e-06,-2.1105565891944463e-06,3.004029039748236e-07,-4.000656431625388,11.754477238876184,33.41344104414847,0.7354266973423584,-0.07439363961289336,0.21857871539137327,0.6213349068455574,0.013675522909514024,-10.634930011816925,1.6982314367936875,35.546974584847284,0.2418464744507144,-0.19776033361755455,0.03157922197202699,0.6610087273901231,0.004497221835824001,-0.0006077143372115044,0.0005952521564732431,5.454251013326363e-05,0.0002406297642287795,-1.130066581891738e-05,1.1068927103414566e-05,1.014237516213825e-06,4.4745966733510185e-06,6.634273580191529,10.455641123006831,-2.133533540698819,0.8529526761507534,0.12336669400466106,0.19442639249846796,-0.03967382054456572,0.015860960590067932,-4.000656431625395,11.754477238876198,33.41344104414847,0.7354266973423482,-0.0743936396128935,0.21857871539137352,0.6213349068455574,0.013675522909513954,7.080755734831554e-15,5.60420720063002e-14,2.1711028037114174e-15,3.673756046583377e-14,7.080755734831554e-15,5.60420720063002e-14,2.1711028037114174e-15,3.673756046583377e-14,1.3166918962595672e-16,1.0421224064728457e-15,4.0372434449770686e-17,6.831480983838782e-16,36,6.634881294528741,10.456063199103514,-2.133588083208952,0.8530769769941313,0.12337799467047998,0.19443424115469782,-0.039674834782081926,0.015863272008782313
