parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
0.6175,7.924904856458246,29.790734670226076,0.5539693839592497,0.14736644496570667,0.20369301367712822,True,0.23537379277479975,0.08501483933288605,0.6175,0.42,360,0.0,0.005752416014726185,1.6592055531728622,0.5785728175226295
0.6247222222222223,6.930765083832032,28.809586045388464,0.5357245737761367,0.1288800597352832,0.2060753881061005,True,0.23537379277479975,0.08501483933288605,0.6247222222222223,0.42,360,0.0,0.007669888019634913,1.6651160885163694,0.5806338491291236
0.6319444444444445,6.097781110763627,27.937137183365927,0.5195010746251202,0.11339042433297739,0.20845776253507275,True,0.23537379277479975,0.08501483933288605,0.6319444444444445,0.42,360,0.0,0.007669888019634913,1.670696278570994,0.5825796877722274
0.6391666666666667,5.35236293651196,27.246908516723504,0.5066660252890235,0.09952910633080905,0.21084013696404497,True,0.23537379277479975,0.08501483933288605,0.6391666666666667,0.42,360,0.0,0.009587360024543641,1.6754970312359188,0.5842537329140504
0.6463888888888889,4.773509367656171,26.81807765109519,0.4986917617106145,0.08876511683906481,0.21322251139301726,True,0.23537379277479975,0.08501483933288605,0.6463888888888889,0.42,360,0.0,0.01150483202945237,1.6797752242934245,0.5857455590512359
0.6536111111111111,4.356043863803463,26.472233909268002,0.4922606734300812,0.08100219623460403,0.21560488582198953,True,0.23537379277479975,0.08501483933288605,0.6536111111111111,0.42,360,0.0,0.057524160147261846,1.6832166076628339,0.5869455856955581
0.6608333333333334,3.951057081342374,25.731534547792542,0.47848710344203843,0.07347132192502105,0.21798726025096177,True,0.23537379277479975,0.08501483933288605,0.6608333333333334,0.42,360,0.0,0.057524160147261846,1.685961012871803,0.5879025727615312
0.6680555555555556,3.894454206141325,24.84622212495029,0.4620244017691068,0.07241877118222967,0.22036963467993403,True,0.23537379277479975,0.08501483933288605,0.6680555555555556,0.42,360,0.0,0.10162601626016261,1.6884088265465373,0.5887561369578739
0.6752777777777778,3.8151694641458795,23.901325106804595,0.44445370319985494,0.07094444300043826,0.22275200910890627,True,0.23537379277479975,0.08501483933288605,0.6752777777777778,0.42,360,0.0,0.14572787237306337,1.6907994787352032,0.5895897686738889
0.6825,3.7837319947181007,23.08360570430404,0.4292479179559115,0.07035985199370656,0.2251343835378785,True,0.23537379277479975,0.08501483933288605,0.6825,0.42,360,0.0,0.186953520478601,1.6922544276815872,0.5900971162473413
