parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
360,24.033268884586363,31.128148025024167,0.5788390644306359,0.44690724501760926,0.264,False,0.2549917068117174,0.0868528159729272,0.6,0.44,360,0.0,0,2.1020311444915523,0.7035843996199603
4,-91.46302071116884,23.891461528425523,0.4442702864261911,-1.700787637474997,0.264,False,0.2549917068117174,0.0868528159729272,0.6,0.44,4,0.0,0,1.2106557733268615,0.40522640097640183
204,23.72453990733689,31.123848411144465,0.5787591115701722,0.4411663190810566,0.264,False,0.2549917068117174,0.0868528159729272,0.6,0.44,204,0.0,0,2.101860806067156,0.7035273845474791
