parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
360,-3.248480918042601,51.63982547702273,0.960261055121282,-0.060406666464992584,0.24,False,0.22597884613508099,-0.0183350981033406,0.6,0.4,360,0.0,0,4.348726693403608,2.939349377081771
4,-46.9477827220264,52.37520610926498,0.9739357214337564,-0.8730108391306856,0.24,False,0.22597884613508099,-0.0183350981033406,0.6,0.4,4,0.0,0,3.850298516776277,2.6024566142618344
204,-3.274948007647965,51.64291058178348,0.9603184237495713,-0.06089883147824859,0.24,False,0.22597884613508099,-0.0183350981033406,0.6,0.4,204,0.0,0,4.348821586682291,2.9394135164308848
