parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,0.6606182057628449,29.003795528478726,0.539335968691284,0.012284432207859035,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,360,0.0,0,0,0,0,0,0,0,1.947960829937032,0.6759904665163815
4,-72.03654730223349,20.242246547898503,0.3764118265031523,-1.339545404748046,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,4,0.0,0,0,0,0,0,0,0,1.0728327975135046,0.37229944880804994
12,-23.113735722851157,-36.19775493070807,-0.6731102210686122,-0.42980819644511264,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,12,0.0,0,0,0,0,0,0,0,1.8107229459336176,0.628365534944124
20,0.4796975629422757,28.04805626924171,0.5215636547646204,0.008920148038358841,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,20,0.0,0,0,0,0,0,0,0,1.9472109004133178,0.6757302224699925
28,-0.11786798270665333,28.767600385201543,0.534943835383266,-0.0021917973655675785,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,28,0.0,0,0,0,0,0,0,0,1.938512961964072,0.6727118232395385
36,0.17200421729717252,28.847108770357018,0.5364223222897401,0.0031984800425126437,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,36,0.0,0,0,0,0,0,0,0,1.9390113228505663,0.6728847667623123
44,1.1000854744460806,29.01286348003491,0.5395045904991367,0.020456483511649814,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,44,0.0,0,0,0,0,0,0,0,1.9431398832272646,0.6743174790695591
52,0.10998731142396156,28.96361774326629,0.5385888483812493,0.0020452534597530875,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,52,0.0,0,0,0,0,0,0,0,1.944870859480098,0.6749181705345509
60,0.7056732899397082,28.984894951003117,0.5389845056818436,0.013122247639468185,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,60,0.0,0,0,0,0,0,0,0,1.9450194085117303,0.67496972071341
68,0.6488010642234978,28.968986884813038,0.5386886894918486,0.012064688227350424,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,68,0.0,0,0,0,0,0,0,0,1.9461263440585395,0.6753538546575795
76,0.535029697289664,28.98883194418751,0.5390577154805664,0.009949068899723437,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,76,0.0,0,0,0,0,0,0,0,1.9468111350078556,0.6755914940116055
84,0.5615364206282099,28.98991998956073,0.5390779480740823,0.01044197091644705,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,84,0.0,0,0,0,0,0,0,0,1.946637406313968,0.6755312058687313
92,0.6502628502758478,28.99727648938272,0.5392147448237965,0.012091870662690293,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,92,0.0,0,0,0,0,0,0,0,1.9471858376285698,0.675721525065356
100,0.6634195055653169,29.00339298718687,0.5393284832917483,0.01233652338127382,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,100,0.0,0,0,0,0,0,0,0,1.947182206768379,0.6757202650672921
108,0.5742074566256263,28.989232785954428,0.539065169276827,0.010677593370317907,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,108,0.0,0,0,0,0,0,0,0,1.9472684680638088,0.6757501998649758
116,0.5863896570368345,28.999441964247247,0.5392550126047009,0.010904125751334006,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,116,0.0,0,0,0,0,0,0,0,1.9473389057283104,0.6757746434723394
124,0.5990651525849611,29.006503615213873,0.5393863265343176,0.011139831132147986,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,124,0.0,0,0,0,0,0,0,0,1.947485268899063,0.6758254351035454
132,0.6599076020721162,29.00068637543558,0.5392781528765681,0.01227121827765054,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,132,0.0,0,0,0,0,0,0,0,1.947563543997492,0.6758525984938408
140,0.6579472232155863,28.997547044799546,0.539219775898701,0.012234764330492132,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,140,0.0,0,0,0,0,0,0,0,1.9476138953100433,0.6758700716415234
148,0.5991800130059448,28.99987478958204,0.5392630611468644,0.011141967002825832,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,148,0.0,0,0,0,0,0,0,0,1.9475968829625216,0.6758641679372183
156,0.5950433013553036,29.000397945332274,0.5392727894154647,0.011065043367672481,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,156,0.0,0,0,0,0,0,0,0,1.9476604502014956,0.6758862273374223
164,0.5965661312001733,29.00128854630348,0.5392893504595891,0.011093360934203675,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,164,0.0,0,0,0,0,0,0,0,1.9476989816429116,0.6758995986982104
172,0.6541497019272049,29.001487199937714,0.539293044495087,0.012164148061642633,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,172,0.0,0,0,0,0,0,0,0,1.9477531310820309,0.6759183898895164
180,0.6003996061515029,29.001565257260733,0.5392944959989732,0.01116464577429638,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,180,0.0,0,0,0,0,0,0,0,1.9477817790795842,0.6759283314514478
188,0.6594355971338466,29.002942417360696,0.5393201047844105,0.012262441176723914,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,188,0.0,0,0,0,0,0,0,0,1.947778571768805,0.6759272184354793
196,0.6071265590317243,29.001897436161997,0.5393006729846479,0.011289735873088189,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,196,0.0,0,0,0,0,0,0,0,1.9477918331681534,0.6759318204682276
204,0.604362509021341,29.002171606325838,0.5393057712770681,0.011238337372902326,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,204,0.0,0,0,0,0,0,0,0,1.9478545459848176,0.6759535833628105
212,0.6592135165114755,29.002271633235793,0.5393076313132942,0.012258311507988784,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,212,0.0,0,0,0,0,0,0,0,1.9478299922780327,0.6759450626207868
220,0.6042591924866987,29.002279895608286,0.5393077849550707,0.011236416164926686,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,220,0.0,0,0,0,0,0,0,0,1.947856782078397,0.6759543593424497
228,0.6611498345590068,29.002887610032552,0.5393190856225084,0.012294318035783888,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,228,0.0,0,0,0,0,0,0,0,1.9478738325525802,0.675960276277647
236,0.6588286982668816,29.002766127052244,0.5393168266029674,0.01225115567486638,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,236,0.0,0,0,0,0,0,0,0,1.9478677768587844,0.6759581748024986
244,0.608739305763845,29.00271390282848,0.5393158554748168,0.01131972547635125,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,244,0.0,0,0,0,0,0,0,0,1.947874638292606,0.6759605558893145
252,0.6095505492501121,29.003314690057234,0.5393270273285722,0.011334810839612783,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,252,0.0,0,0,0,0,0,0,0,1.947893408826037,0.6759670697275066
260,0.609365174411207,29.00316046191424,0.5393241594009998,0.01133136372807134,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,260,0.0,0,0,0,0,0,0,0,1.9478924339805552,0.6759667314320738
268,0.6086683309296788,29.00299090810112,0.5393210064871008,0.011318405673882632,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,268,0.0,0,0,0,0,0,0,0,1.947904751705191,0.6759710059864154
276,0.6616392524674297,29.0030975007503,0.5393229886156,0.01230341893712885,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,276,0.0,0,0,0,0,0,0,0,1.9479091838331746,0.6759725440441716
284,0.6595228943570786,29.002963241749256,0.5393204920213762,0.012264064499864833,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,284,0.0,0,0,0,0,0,0,0,1.9479185055259367,0.6759757789015375
292,0.6137824716275723,29.003004160902044,0.539321252927682,0.011413504952341329,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,292,0.0,0,0,0,0,0,0,0,1.9479203487399075,0.6759764185422595
300,0.6621429880845795,29.003334328679426,0.5393273925157875,0.012312786081397022,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,300,0.0,0,0,0,0,0,0,0,1.9479220872645528,0.6759770218532031
308,0.6119813746112899,29.003396018637563,0.53932853966266,0.011380012908066303,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,308,0.0,0,0,0,0,0,0,0,1.9479297154291642,0.6759796690145191
316,0.6113951987483212,29.003134588402638,0.5393236782737821,0.011369112757892258,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,316,0.0,0,0,0,0,0,0,0,1.9479283896914517,0.6759792089508253
324,0.6622350218813328,29.0035426617714,0.5393312665442698,0.012314497482819485,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,324,0.0,0,0,0,0,0,0,0,1.9479373199935641,0.6759823079859796
332,0.6111968127304939,29.0036629152266,0.539333502700351,0.0113654236988174,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,332,0.0,0,0,0,0,0,0,0,1.9479369194534368,0.6759821689886736
340,0.6630009737043542,29.003747381252236,0.5393350733763583,0.012328740631376869,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,340,0.0,0,0,0,0,0,0,0,1.947959383952248,0.6759899647239872
348,0.6638388022063869,29.003246276581258,0.5393257551554768,0.012344320352530856,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,348,0.0,0,0,0,0,0,0,0,1.9479414464944584,0.6759837399835956
356,0.6118494530789262,29.003651356270964,0.5393332877574298,0.011377559779910068,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,356,0.0,0,0,0,0,0,0,0,1.9479579758737864,0.6759894760860221
364,0.6618110342887558,29.003438426054565,0.539329328243772,0.012306613281638606,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,364,0.0,0,0,0,0,0,0,0,1.9479480155269904,0.6759860195999502
372,0.6133474614178117,29.003521449148998,0.5393308720879566,0.011405415781644982,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,372,0.0,0,0,0,0,0,0,0,1.947955178390274,0.6759885052902259
380,0.6648444178432497,29.003770385719047,0.5393355011526602,0.012363020135568076,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,380,0.0,0,0,0,0,0,0,0,1.94795615833859,0.6759888453564682
388,0.6637351415175181,29.003629753380395,0.5393328860439404,0.012342392744884079,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,388,0.0,0,0,0,0,0,0,0,1.9479639309431467,0.6759915426420088
396,0.6622939527312944,29.003577850306424,0.5393319208876851,0.012315593323086965,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,396,0.0,0,0,0,0,0,0,0,1.947958581300142,0.6759896861839041
