parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
0.39899999999999997,5.779486037668574,29.06384662847991,0.5404526404095877,0.10747161341704663,0.2036930136771282,True,0.23537379277479975,0.08501483933288605,0.65,0.39899999999999997,360,0.0,0.0028762080073630927,1.6891022006206327,0.5889979197742823
0.4036666666666666,5.275557216234762,28.48060301019698,0.5296070163759758,0.09810087644599759,0.20607538810610046,True,0.23537379277479975,0.08501483933288605,0.65,0.4036666666666666,360,0.0,0.0,1.687140995560151,0.5883140383013613
0.4083333333333333,4.990515576997206,27.908697883607,0.5189722356574987,0.09280042504595278,0.20845776253507273,True,0.23537379277479975,0.08501483933288605,0.65,0.4083333333333333,360,0.0,0.0,1.685054765312921,0.5875865599549729
0.413,4.747865184614596,27.385528224772518,0.509243708421802,0.08828825406817525,0.21084013696404497,True,0.23537379277479975,0.08501483933288605,0.65,0.413,360,0.0,0.0,1.6835451896503308,0.5870601637874225
0.41766666666666663,4.6146140109966325,26.89992276364012,0.5002137009000466,0.08581040075646201,0.21322251139301723,True,0.23537379277479975,0.08501483933288605,0.65,0.41766666666666663,360,0.0,0.0,1.6823445819124014,0.5866415061953327
0.42233333333333334,4.484356504597231,26.378917082708487,0.49052541360871554,0.08338821575918288,0.2156048858219895,True,0.23537379277479975,0.08501483933288605,0.65,0.42233333333333334,360,0.0,0.01150483202945237,1.6812014225594893,0.5862428811265901
0.427,4.414152580114513,25.764204355235556,0.47909461021565825,0.08208274863231536,0.21798726025096177,True,0.23537379277479975,0.08501483933288605,0.65,0.427,360,0.0,0.01150483202945237,1.6802959406302154,0.5859271352986943
0.43166666666666664,4.4661828599735545,25.15628899754302,0.4677902063488789,0.08305027032655365,0.220369634679934,True,0.23537379277479975,0.08501483933288605,0.65,0.43166666666666664,360,0.0,0.03643196809326584,1.679239790257091,0.5855588506723938
0.43633333333333335,4.3956474655991435,24.723571245799278,0.4597436647306459,0.08173863939829838,0.2227520091089063,True,0.23537379277479975,0.08501483933288605,0.65,0.43633333333333335,360,0.0,0.03643196809326584,1.6782570596952828,0.5852161678812691
0.441,4.367868214105664,24.38378283952438,0.45342517758407924,0.08122207426464051,0.22513438353787854,True,0.23537379277479975,0.08501483933288605,0.65,0.441,360,0.0,0.07286393618653168,1.6772674118526392,0.584871073001627
