parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
360,-4.102818770335311,25.4453822747352,0.4731659994082213,-0.07629338490167052,0.27999999999999997,False,0.23220240511297036,0.16162034257372243,0.7,0.4,360,0.0,0,1.7267157110239557,0.6394000451519474
4,-68.55906772735337,16.70527906301561,0.31064064897516946,-1.274880426218579,0.27999999999999997,False,0.23220240511297036,0.16162034257372243,0.7,0.4,4,0.0,0,0.9001500138148516,0.33332409950415814
204,-4.093256634737379,25.443449660958954,0.47313006176267786,-0.07611557356451625,0.27999999999999997,False,0.23220240511297036,0.16162034257372243,0.7,0.4,204,0.0,0,1.7266104255397572,0.6393610581068184
