parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,1.5051979201436743,32.61994672865854,0.6065795957734056,0.027989694574135433,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,360,0.0,0,0,0,0,0,0,0,2.3294974816372127,0.7797211241750537
4,9.411500553446407,22.76048064002096,0.4232392916234568,0.1750102245358717,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,4,0.0,0,0,0,0,0,0,0,1.0396140686155484,0.3479759290056868
12,-2.2402644045307145,31.946876596068332,0.5940636155251905,-0.04165851919469622,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,12,0.0,0,0,0,0,0,0,0,2.1582788452199324,0.7224114302520651
20,0.26221789079962576,33.78229229409968,0.6281938279822789,0.004876035621053052,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,20,0.0,0,0,0,0,0,0,0,2.304954347987747,0.7715061336413485
28,-1.5218927418841046,32.57873636235433,0.605813274248039,-0.02830014076545071,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,28,0.0,0,0,0,0,0,0,0,2.3063710607548136,0.7719803307074873
36,1.7735065349115873,32.44140150159076,0.60325948331084,0.03297898938942884,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,36,0.0,0,0,0,0,0,0,0,2.31651305796645,0.7753750239963075
44,1.3272389036672556,32.79246454879642,0.6097876264447435,0.024680482907530787,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,44,0.0,0,0,0,0,0,0,0,2.3213525968596347,0.7769948972677011
52,1.4761754968900294,32.73916431625335,0.6087964895253751,0.027450012216221155,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,52,0.0,0,0,0,0,0,0,0,2.323468487576337,0.7777031206941113
60,1.4634436061297564,32.63738287811937,0.6069038272192682,0.02721325814623328,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,60,0.0,0,0,0,0,0,0,0,2.3255663282194283,0.7784053024639844
68,1.4281912964167964,32.665981450904205,0.6074356279258672,0.026557728817701923,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,68,0.0,0,0,0,0,0,0,0,2.326241961575578,0.7786314480615392
76,1.443369729521672,32.63086757555137,0.6067826728338576,0.026839977219080834,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,76,0.0,0,0,0,0,0,0,0,2.326934159777011,0.7788631381852795
84,1.4433891267131274,32.63617295384823,0.6068813282439814,0.026840337916805145,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,84,0.0,0,0,0,0,0,0,0,2.327409671592804,0.7790222998115492
92,1.4454187237267266,32.63209203818174,0.6068054421551428,0.02687807900039221,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,92,0.0,0,0,0,0,0,0,0,2.3277319232255835,0.7791301627336426
100,1.4546669767805034,32.63408691869968,0.6068425376730555,0.027050053579187015,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,100,0.0,0,0,0,0,0,0,0,2.3281052192746965,0.7792551110614938
108,1.441325873549449,32.642226607970386,0.6069938981111525,0.026801970985049776,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,108,0.0,0,0,0,0,0,0,0,2.3282569645849533,0.7793059027128411
116,1.5542115356649226,32.60800444064071,0.6063575246492949,0.028901120314268596,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,116,0.0,0,0,0,0,0,0,0,2.32851493927762,0.7793922510858101
124,1.4407425693092946,32.64655568252673,0.6070743988034529,0.026791124233730743,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,124,0.0,0,0,0,0,0,0,0,2.328564580853259,0.779408866937713
132,1.5350776932363597,32.60999087833258,0.6063944631698323,0.028545319659459032,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,132,0.0,0,0,0,0,0,0,0,2.328721285858655,0.7794613186806036
140,1.5378493321961213,32.61116836321716,0.6064163589231043,0.028596859278877385,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,140,0.0,0,0,0,0,0,0,0,2.328862822182451,0.7795086932162586
148,1.5365743777280574,32.60884183174017,0.6063730962367914,0.028573151043781213,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,148,0.0,0,0,0,0,0,0,0,2.3288582540283533,0.7795071641799421
156,1.5230660911370264,32.614280161302325,0.6064742239233242,0.028321959615170447,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,156,0.0,0,0,0,0,0,0,0,2.328959496016744,0.7795410515387498
164,1.5257795787868025,32.61351015188401,0.6064599053223286,0.02837241789014645,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,164,0.0,0,0,0,0,0,0,0,2.3290354876193073,0.7795664871780864
172,1.528743175404406,32.61571347233219,0.6065008768554195,0.028427527030982724,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,172,0.0,0,0,0,0,0,0,0,2.3290902749822564,0.7795848254096432
180,1.5181800044488205,32.61604283522018,0.6065070014763185,0.02823110108272404,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,180,0.0,0,0,0,0,0,0,0,2.3291607085102646,0.7796084006700035
188,1.5167951319268518,32.617900555896846,0.6065415464578443,0.028205348882036494,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,188,0.0,0,0,0,0,0,0,0,2.329153401865004,0.7796059550156503
196,1.5227285493961775,32.61676024870135,0.60652034203702,0.028315682905572362,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,196,0.0,0,0,0,0,0,0,0,2.329238362994934,0.7796343929033331
204,1.5118456550710921,32.615727398701395,0.6065011358212442,0.0281133115867144,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,204,0.0,0,0,0,0,0,0,0,2.3292201895296496,0.7796283099455736
212,1.5128707691634933,32.61728404843271,0.6065300822806801,0.028132373950517837,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,212,0.0,0,0,0,0,0,0,0,2.3292582502202404,0.7796410494847611
220,1.5162267992234133,32.61783526705694,0.606540332388476,0.02819478053180637,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,220,0.0,0,0,0,0,0,0,0,2.329319167344381,0.7796614394482149
228,1.5182936646837102,32.616691682576025,0.6065190670253553,0.028233214635511494,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,228,0.0,0,0,0,0,0,0,0,2.3293440999857777,0.7796697848133985
236,1.5122870205374477,32.61741988490607,0.6065326082085667,0.028121518935683952,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,236,0.0,0,0,0,0,0,0,0,2.329350079659738,0.7796717863086307
244,1.5109899462530443,32.618043655698244,0.606544207449918,0.02809739937467835,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,244,0.0,0,0,0,0,0,0,0,2.329350738359758,0.779672006786362
252,1.514361711990598,32.61708615576511,0.6065264023956294,0.028160098566529915,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,252,0.0,0,0,0,0,0,0,0,2.329397160218689,0.7796875449461228
260,1.5070187840795068,32.618563774432,0.6065538792441088,0.028023554191361152,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,260,0.0,0,0,0,0,0,0,0,2.32939762863212,0.7796877017318028
268,1.5091777329175695,32.61947115879076,0.6065707523813376,0.02806370061846543,0.17435839227423353,True,0.23666314738266106,0.1357793031213258,0.6,0.37,268,0.0,0,0,0,0,0,0,0,2.3294005819102606,0.7796886902425739
