parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
0.418,3.8237056466055805,32.20005061076473,0.5987714770300637,0.07110317637143129,0.25079999999999997,False,0.2549917068117174,0.0868528159729272,0.6,0.418,360,0.0,0.5244285933425372,2.530402939460167,0.8469674855304312
0.42288888888888887,-16.066155874164068,32.359496366618686,0.6017364279828716,-0.29875592430753595,0.2537333333333333,False,0.2549917068117174,0.0868528159729272,0.6,0.42288888888888887,360,0.0,0.550314465408805,2.532453497206771,0.8476538409371107
0.42777777777777776,-16.02040688939507,32.424124795883074,0.6029382167786891,-0.2979052055458207,0.25666666666666665,False,0.2549917068117174,0.0868528159729272,0.6,0.42777777777777776,360,0.0,0.5244285933425372,2.535077681394344,0.8485321985489587
0.43266666666666664,-16.471554299207114,32.49405760604399,0.6042386424376138,-0.30629445325840465,0.2596,False,0.2549917068117174,0.0868528159729272,0.6,0.43266666666666664,360,0.0,0.5666129774505292,2.5343240299479977,0.8482799390133233
0.43755555555555553,-16.528092088107694,32.44528739175709,0.6033317428306338,-0.30734579369812115,0.2625333333333333,False,0.2549917068117174,0.0868528159729272,0.6,0.43755555555555553,360,0.0,0.5388096333793527,2.53636990063095,0.8489647255827029
0.4424444444444445,-16.798872024765306,32.4594294888161,0.6035947201919643,-0.3123810436293241,0.2654666666666667,False,0.2549917068117174,0.0868528159729272,0.6,0.4424444444444445,360,0.0,0.6068798895536126,2.5387903896803947,0.8497749030813108
0.44733333333333336,5.295053517180193,32.2037807119513,0.5988408395979664,0.09846341714678196,0.2684,False,0.2549917068117174,0.0868528159729272,0.6,0.44733333333333336,360,0.0,0.5771590734775272,2.5358411799594966,0.8487877540772302
0.45222222222222225,5.738177873626033,32.43430927586749,0.6031276008326699,0.10670347330769898,0.2713333333333333,False,0.2549917068117174,0.0868528159729272,0.6,0.45222222222222225,360,0.0,0.6596103696886025,2.5375751608015036,0.8493681459866806
0.45711111111111113,5.124283180607696,32.78317805754783,0.609614940813017,0.09528788155839218,0.27426666666666666,False,0.2549917068117174,0.0868528159729272,0.6,0.45711111111111113,360,0.0,0.6433118576468784,2.542770030589864,0.8511069543534004
0.462,6.259820884557856,32.63633833516978,0.6068844035689048,0.11640361197871206,0.2772,False,0.2549917068117174,0.0868528159729272,0.6,0.462,360,0.0,0.734391777880043,2.542537512501024,0.8510291267244589
