parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,-0.6854976351495738,28.688832857841554,0.5334791249929172,-0.012747074110557682,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,360,0.0,0,0,0,0,0,0,0,2.006272757972122,0.6995967920183866
4,10.236505482486749,20.843268400761026,0.3875880431779649,0.19035148675592,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,4,0.0,0,0,0,0,0,0,0,0.9194679199356255,0.3206228089349956
12,-9.531367378591051,18.042069424357233,0.3354987446600404,-0.17723919109267486,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,12,0.0,0,0,0,0,0,0,0,1.8536309154455237,0.6463698601692389
20,-1.1854712045446831,29.904141578241425,0.5560782260427172,-0.022044261752946697,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,20,0.0,0,0,0,0,0,0,0,1.9904034420255372,0.6940630865520478
28,-2.06411373601496,28.43936038952007,0.5288400950689935,-0.03838293440627509,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,28,0.0,0,0,0,0,0,0,0,1.9857153927095288,0.6924283416006094
36,-0.3648297755744707,28.570728412555233,0.531282930520966,-0.006784140379960866,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,36,0.0,0,0,0,0,0,0,0,1.9952107695098067,0.6957394243644479
44,-0.43485998101970935,28.639199027553797,0.5325561661370039,-0.008086377139090248,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,44,0.0,0,0,0,0,0,0,0,1.999108313766997,0.6970985164660801
52,-0.5545613258181854,28.68812664502581,0.5334659927126021,-0.010312266529571745,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,52,0.0,0,0,0,0,0,0,0,2.001277918180434,0.6978550677782376
60,-0.44850298475902006,28.647625250009163,0.5327128547623222,-0.008340073681336761,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,60,0.0,0,0,0,0,0,0,0,2.002914734008184,0.6984258331926951
68,-0.5310587522938186,28.65221388703803,0.5327981821117895,-0.00987522775490323,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,68,0.0,0,0,0,0,0,0,0,2.0035843412041836,0.6986593283863932
76,-0.5188521263403971,28.645469569433267,0.5326727691097238,-0.009648241172179033,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,76,0.0,0,0,0,0,0,0,0,2.004045261125463,0.6988200533411747
84,-0.6713440730422735,28.677117677817602,0.5332612770233158,-0.012483883552546825,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,84,0.0,0,0,0,0,0,0,0,2.004558603359655,0.6989990582042079
92,-0.6725173546753952,28.665672850096712,0.5330484563516458,-0.01250570114485215,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,92,0.0,0,0,0,0,0,0,0,2.004761336496308,0.6990697522070421
100,-0.6531663872808529,28.675898387786063,0.533238603888359,-0.012145862973513465,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,100,0.0,0,0,0,0,0,0,0,2.0049673688585012,0.6991415966654139
108,-0.6709390556283354,28.679043035964376,0.5332970797478298,-0.012476352108633954,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,108,0.0,0,0,0,0,0,0,0,2.005265104490144,0.6992454184872171
116,-0.6686234036165081,28.675858541673577,0.5332378629356221,-0.01243329172987337,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,116,0.0,0,0,0,0,0,0,0,2.005325350326971,0.6992664264952305
124,-0.6794048256556972,28.68383856799276,0.5333862543839349,-0.012633776135221837,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,124,0.0,0,0,0,0,0,0,0,2.00548952430266,0.6993236747364123
132,-0.6738299231017452,28.677534982409306,0.5332690369517011,-0.012530108824978152,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,132,0.0,0,0,0,0,0,0,0,2.005625645570124,0.6993711408656635
140,-0.667490756792404,28.680248252165665,0.5333194911748711,-0.012412229756399468,0.21441369860750337,True,0.23537379277479975,0.08501483933288605,0.65,0.42,140,0.0,0,0,0,0,0,0,0,2.005693890339447,0.6993949381392401
