parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,perc_missing_before_required,perc_missing_before_global,perc_filled_of_missing,n_required_points,n_invalid_before_points,n_filled_success_points,Gamma,F_kutta
360,1.0721739899637999,19.678886858189514,0.3659359512449476,0.019937459458191656,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,360,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8254378154862898,0.6334719577123683
4,-60.10526324836628,17.72962435344605,0.32968871663052823,-1.1176789032894743,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,4,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,0.9807532393809525,0.34034557042300145
12,-0.09324906809662892,16.358186988290853,0.3041863474971807,-0.0017339998284732342,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,12,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.7706924456058628,0.6144739637299749
20,9.20047282239291,25.451631709156366,0.47328220988019226,0.17108608827457766,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,20,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.807357774954744,0.6271977375916538
28,0.5997117973501984,20.56287690508717,0.3823740628634378,0.011151855723223178,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,28,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8276851898019923,0.6342518520453347
36,1.1833603786921927,19.5325261574716,0.363214321580219,0.022005010189999574,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,36,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8149888674265795,0.6298459149475775
44,1.4453749940276328,19.724733608581584,0.3667884879934492,0.02687726583097105,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,44,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8208623758958824,0.6318841672929186
52,2.035188305382516,19.48983700869403,0.36242050156497474,0.03784505566090041,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,52,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8218463994171872,0.632225647731851
60,2.0591590491019183,19.470917611928016,0.36206868860408714,0.03829080022807129,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,60,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8227367476606733,0.6325346205382989
68,2.243217277659304,19.416873597035618,0.3610637207854671,0.0417134289284125,0.2881,False,0.23664477457403132,0.08801755474779335,0.67,0.43,68,0.0,2.3725628376791166,2.3725628376791166,0.09683233624789078,100.0,4257,101,101,1.8241534182839239,0.633026240195529
