parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
0.44,14.370493263079405,30.788387597579046,0.5725210975604327,0.2672244705698704,0.20734511513692636,True,0.2549917068117174,0.0868528159729272,0.6,0.44,360,0.0,0,2.0669052341491656,0.6918271796548249
0.1,8.072430265505725,21.486288290434352,0.3995452283934034,0.1501097327990895,0.0471238898038469,True,0.2549917068117174,0.0868528159729272,0.6,0.1,360,0.0,0,-4.026954677936545,-1.3478879686428744
0.5737056319458544,18.476211944035978,33.55090367877393,0.6238910737834943,0.3435717803484592,0.2703524097966279,True,0.2549917068117174,0.0868528159729272,0.6,0.5737056319458544,360,0.0,0,2.3258334002378556,0.7784946958615242
