parameter_value,F_x,F_y,C_l,C_d,area,is_ellipse,d1centre_x,d1centre_y,dLx,dLy,iP,drot,perc_of_interpolated_points,Gamma,F_kutta
360,-0.6501232988648535,28.89169953134179,0.5372515034652449,-0.012089275654207456,0.273,False,0.23537379277479975,0.08501483933288605,0.65,0.42,360,0.0,0,1.9381366566614422,0.6758374114913976
4,-70.04384555855337,20.674602670789476,0.38445164350331174,-1.3024904019231485,0.273,False,0.23537379277479975,0.08501483933288605,0.65,0.42,4,0.0,0,1.0578260579285201,0.36886894551081373
204,-0.635985662368922,28.88846809554747,0.5371914137589621,-0.011826381238645479,0.273,False,0.23537379277479975,0.08501483933288605,0.65,0.42,204,0.0,0,1.9380078135230838,0.6757924832801606
